Date,USD_KRW
2022-12-19,1310.1
2022-12-20,1302.0
2022-12-21,1298.0
2022-12-22,1286.6
2022-12-23,1276.1
2022-12-24,1276.1
2022-12-25,1276.1
2022-12-26,1282.2
2022-12-27,1276.4
2022-12-28,1268.3
2022-12-29,1268.4
2022-12-30,1267.3
2022-12-31,1267.3
2023-01-01,1267.3
2023-01-02,1267.3
2023-01-03,1268.9
2023-01-04,1272.1
2023-01-05,1274.7
2023-01-06,1270.3
2023-01-07,1270.3
2023-01-08,1270.3
2023-01-09,1267.2
2023-01-10,1246.8
2023-01-11,1240.8
2023-01-12,1245.3
2023-01-13,1244.6
2023-01-14,1244.6
2023-01-15,1244.6
2023-01-16,1240.6
2023-01-17,1234.0
2023-01-18,1238.5
2023-01-19,1239.8
2023-01-20,1236.0
2023-01-21,1236.0
2023-01-22,1236.0
2023-01-23,1236.0
2023-01-24,1236.0
2023-01-25,1234.4
2023-01-26,1233.4
2023-01-27,1231.4
2023-01-28,1231.4
2023-01-29,1231.4
2023-01-30,1230.2
2023-01-31,1228.7
2023-02-01,1230.8
2023-02-02,1231.4
2023-02-03,1219.3
2023-02-04,1219.3
2023-02-05,1219.3
2023-02-06,1227.2
2023-02-07,1247.5
2023-02-08,1256.0
2023-02-09,1257.1
2023-02-10,1263.1
2023-02-11,1263.1
2023-02-12,1263.1
2023-02-13,1264.3
2023-02-14,1274.6
2023-02-15,1269.9
2023-02-16,1279.3
2023-02-17,1283.7
2023-02-18,1283.7
2023-02-19,1283.7
2023-02-20,1297.7
2023-02-21,1295.8
2023-02-22,1295.8
2023-02-23,1303.8
2023-02-24,1299.6
2023-02-25,1299.6
2023-02-26,1299.6
2023-02-27,1300.5
2023-02-28,1317.4
2023-03-01,1317.4
2023-03-02,1319.2
2023-03-03,1310.4
2023-03-04,1310.4
2023-03-05,1310.4
2023-03-06,1304.8
2023-03-07,1296.7
2023-03-08,1299.1
2023-03-09,1319.5
2023-03-10,1319.7
2023-03-11,1319.7
2023-03-12,1319.7
2023-03-13,1325.7
2023-03-14,1307.3
2023-03-15,1304.9
2023-03-16,1302.0
2023-03-17,1312.1
2023-03-18,1312.1
2023-03-19,1312.1
2023-03-20,1303.6
2023-03-21,1308.4
2023-03-22,1307.8
2023-03-23,1307.1
2023-03-24,1287.2
2023-03-25,1287.2
2023-03-26,1287.2
2023-03-27,1289.7
2023-03-28,1300.3
2023-03-29,1297.4
2023-03-30,1299.3
2023-03-31,1303.8
2023-04-01,1303.8
2023-04-02,1303.8
2023-04-03,1295.4
2023-04-04,1316.3
2023-04-05,1310.3
2023-04-06,1311.9
2023-04-07,1318.7
2023-04-08,1318.7
2023-04-09,1318.7
2023-04-10,1318.9
2023-04-11,1320.0
2023-04-12,1319.5
2023-04-13,1324.2
2023-04-14,1318.0
2023-04-15,1318.0
2023-04-16,1318.0
2023-04-17,1299.3
2023-04-18,1311.3
2023-04-19,1318.8
2023-04-20,1318.8
2023-04-21,1327.6
2023-04-22,1327.6
2023-04-23,1327.6
2023-04-24,1327.9
